"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"ENSG00000100228",46.2010078259662,1.55516333508804,0.322405076251095,4.82363166601275,1.40967635983802e-06,4.29779377999395e-06,"Up dans HBR"
"ENSG00000169548",9.59236124003358,-6.44649124249008,1.33845270808664,-4.81637580733468,1.46189080584745e-06,4.43534831871193e-06,"Down dans HBR"
"ENSG00000075234",92.8691694899465,-1.14690634394421,0.240011293845563,-4.77855156550338,1.76562484676065e-06,5.30536312127598e-06,"Down dans HBR"
"ENSG00000128311",75.8713532577639,-1.27539932687934,0.267159767577419,-4.77391988488592,1.80674279148754e-06,5.4029389697594e-06,"Down dans HBR"
"ENSG00000179750",15.9243301921178,-5.2694322995326,1.13136308149734,-4.65759612074188,3.19923063441502e-06,9.5215197452828e-06,"Down dans HBR"
"ENSG00000099977",79.9506582460433,-1.20674449284561,0.266541280431122,-4.52742063403364,5.97080147689952e-06,1.76025986936896e-05,"Down dans HBR"
"ERCC-00078",85.3200464235259,1.07425525176235,0.23833142658123,4.50740075353097,6.56266104329744e-06,1.92566345167179e-05,"Up dans HBR"
"ENSG00000100092",73.1543596795403,-1.14286012445893,0.269024414421218,-4.24816508537966,2.15528553010137e-05,6.12297025596979e-05,"Down dans HBR"
"ENSG00000271127",12.2794725197001,-4.93678449721042,1.17689688220819,-4.19474685662146,2.73176499989256e-05,7.72557975082737e-05,"Down dans HBR"
"ENSG00000186998",28.6388197025713,1.91062287348108,0.455617613710328,4.1934789524968,2.74708576243211e-05,7.73391261945978e-05,"Up dans HBR"
"ENSG00000100068",29.3739376385061,-1.83943211605803,0.43901260252322,-4.18993009650729,2.79040404138238e-05,7.82063912943492e-05,"Down dans HBR"
"ENSG00000183172",55.651269258553,1.22713422249899,0.296522576624619,4.13841750758988,3.49709564765536e-05,9.67117159196725e-05,"Up dans HBR"
"ENSG00000273289",5.21830038404002,6.10646456026002,1.47686873371828,4.13473751650622,3.55360560031925e-05,9.74124342192776e-05,"Up dans HBR"
"ENSG00000100271",46.2623919294732,1.40941963033771,0.346782994416095,4.06426973938228,4.81830785710793e-05,0.000130932278725759,"Up dans HBR"
"ENSG00000185022",88.6751290684095,-1.01321340464965,0.249870285546791,-4.05495756501192,5.01434049376472e-05,0.000135669385653807,"Down dans HBR"
"ENSG00000128274",28.3626241462299,-1.88812931968956,0.476354310216911,-3.9637078518924,7.37945538000637e-05,0.000197946764485149,"Down dans HBR"
"ENSG00000100036",46.1625608379224,1.30524718836429,0.330249802881873,3.95230270230067,7.74027410408442e-05,0.00020673809038687,"Up dans HBR"
"ENSG00000235111",10.8835458527205,-3.6387757100755,0.935400429843025,-3.89007273674884,0.000100214179307526,0.000264277899017737,"Down dans HBR"
"ENSG00000244486",27.6642798831413,-1.90636474707632,0.495711645543532,-3.84571305559313,0.000120202366049414,0.000315657473869259,"Down dans HBR"
"ENSG00000128253",8.71423029620832,5.01473656591223,1.30763931489357,3.83495395771301,0.000125587817952264,0.000327051609250687,"Up dans HBR"
"ERCC-00170",15.2621921330398,-2.44286712969162,0.638461115952793,-3.8261799640626,0.00013014715962246,0.000337518567485633,"Down dans HBR"
"ENSG00000100142",29.0099724055906,1.61716201277466,0.42481935011355,3.80670516148194,0.000140830470782533,0.000363715058839187,"Up dans HBR"
"ENSG00000133477",19.0040419619612,-2.54591394928229,0.701507446527616,-3.62920445375781,0.000284296012553548,0.00072524492998354,"Down dans HBR"
"ENSG00000077935",4.68844119271972,-5.40901964923665,1.49239727733153,-3.62438321980071,0.000289651859401748,0.00073590411433371,"Down dans HBR"
"ENSG00000100078",8.66559790844697,-4.41948676764546,1.22337270215669,-3.61254322566976,0.000303208542577056,0.000767228093565424,"Down dans HBR"
"ENSG00000235513",10.5263474781561,2.72146221599012,0.759521325546481,3.58312811563521,0.000339503986551483,0.000852168640942478,"Up dans HBR"
"ENSG00000273188",3.79884396546371,5.65260958201695,1.58765375684516,3.56035411225261,0.000370355024056525,0.000925887560141313,"Up dans HBR"
"ENSG00000211685",4.32840349204128,-5.30923467970406,1.5108870275298,-3.51398521726955,0.000441437378570824,0.0010905073581295,"Down dans HBR"
"ENSG00000234688",3.64803043879558,5.57828838560522,1.58922782046401,3.51006212814504,0.000448002003940526,0.00110236713568043,"Up dans HBR"
"ENSG00000243902",3.50203296336477,5.52976618702135,1.59245081633068,3.47248789746801,0.000515658261434357,0.00125159970360967,"Up dans HBR"
"ENSG00000100218",6.26906808846148,4.53651094804478,1.30874572551627,3.46630430923105,0.000527665690809154,0.00127332454345838,"Up dans HBR"
"ENSG00000234965",30.4096204445192,5.1295891625487,1.48563299677218,3.45279700551462,0.000554806337606104,0.00132348840077792,"Up dans HBR"
"ENSG00000272821",29.4786605590211,1.52752956901379,0.44301032443864,3.44806765158216,0.000564612598677984,0.00133667755368841,"Up dans HBR"
"ENSG00000184979",18.8235276050734,-1.84959940847868,0.547106558610765,-3.38069317460799,0.000723032313631192,0.00169885412037404,"Down dans HBR"
"ENSG00000100365",20.040088224883,-1.89277855039483,0.564780335180894,-3.35135349531707,0.000804175773064742,0.00187540991852785,"Down dans HBR"
"ENSG00000225528",4.09336992285251,-5.23295433430801,1.58871172381664,-3.29383503366906,0.000988304828648879,0.00227930080407952,"Down dans HBR"
"ENSG00000237037",22.5866560281275,1.60143229568282,0.486752320565463,3.29003525616975,0.00100174830363454,0.00230181135945437,"Up dans HBR"
"ENSG00000172967",3.86687838014054,-5.131570684793,1.57633527563903,-3.25538022532213,0.00113240649663385,0.00258304401604437,"Down dans HBR"
"ENSG00000233903",3.68690397892605,-5.0771469596412,1.55953132306625,-3.25555946491594,0.001131691952041,0.00258304401604437,"Down dans HBR"
"ENSG00000198125",6.9443323410645,-4.08859563989418,1.26477953005085,-3.23265481670928,0.00122645659761473,0.00277730207793192,"Down dans HBR"
"ENSG00000205632",9.91054252694184,2.68195923748456,0.837265304031112,3.20323704394766,0.00135892077168513,0.00306615697582385,"Up dans HBR"
"ENSG00000093100",8.32828981474259,2.67051433330502,0.84560059100585,3.1581273259618,0.00158786188497186,0.00354433456466933,"Up dans HBR"
"ENSG00000198062",6.84703693052879,-4.01134907512682,1.27973749657568,-3.13450929261695,0.00172141801568988,0.00382877672528888,"Down dans HBR"
"ENSG00000128284",32.2092846999623,-1.35298550791584,0.438957073889951,-3.08227293371981,0.00205426388859187,0.00450496466796464,"Down dans HBR"
"ENSG00000224086",26.9740343276688,1.48131480361398,0.481849477260259,3.07422727121458,0.00211048588451639,0.00461207579658303,"Up dans HBR"
"ENSG00000213279",3.33514588259091,-4.93743120481117,1.64375363289613,-3.00375379010533,0.00266671032875634,0.00580729601210005,"Down dans HBR"
"ENSG00000130489",38.8257178632282,-1.25982793599332,0.420947367270822,-2.99283956605149,0.00276395002197155,0.00595678884045593,"Down dans HBR"
"ENSG00000128394",6.51118878285244,-3.29992441566205,1.11523693675026,-2.95894469320382,0.00308694497855663,0.00660733086163663,"Down dans HBR"
"ENSG00000243811",9.39539318717588,-2.29888621987303,0.79737707282241,-2.88306034651316,0.00393831984776368,0.00831570913801453,"Down dans HBR"
"ENSG00000241360",6.29327734283963,2.73079109780537,0.952106039058836,2.86815857244722,0.00412868547409653,0.00868831118286306,"Up dans HBR"
"ENSG00000273145",3.18291690206489,-4.8418124306528,1.69195524547642,-2.8616669640629,0.00421419470400846,0.0088384956040446,"Down dans HBR"
"ENSG00000272669",5.97333796980287,-3.75116015310165,1.31724011117923,-2.84774212481544,0.00440305865308024,0.00917303886058384,"Down dans HBR"
"ENSG00000213888",20.5461026353894,1.4116589041463,0.503741817881095,2.8023460710175,0.00507324199268445,0.0105341403502584,"Up dans HBR"
"ENSG00000283633",11.4526135875007,-1.9610162240964,0.701485687485555,-2.79551851032853,0.00518165343929191,0.0107236205283359,"Down dans HBR"
"ENSG00000235478",2.34223046026161,4.94801282000243,1.77765673306477,2.78344672960106,0.00537846938675684,0.011021453661387,"Up dans HBR"
"ENSG00000239282",4.52243754729896,3.40261439076439,1.25078122410932,2.72039132438,0.00652047009584185,0.0131461090641973,"Up dans HBR"
"ENSG00000281538",8.26844270042604,2.16127285946524,0.803539531588999,2.68969076753613,0.00715182569591591,0.014326573910088,"Up dans HBR"
"ENSG00000224271",28.0108151676926,-1.13325263701853,0.424228487790368,-2.67132611230607,0.00755522060180793,0.0150863031186261,"Down dans HBR"
"ENSG00000100206",10.9829181854554,-2.04789634086105,0.769536032509551,-2.66120916285441,0.00778605731753023,0.0154516396691791,"Down dans HBR"
"ENSG00000182057",5.03763047753335,-3.61759567900132,1.35941509487474,-2.66114131926323,0.00778762639326624,0.0154516396691791,"Down dans HBR"
"ENSG00000100209",35.4094909264901,-1.04502568836965,0.396718398158054,-2.63417500479346,0.00843420036942351,0.0166815671863598,"Down dans HBR"
"ENSG00000187045",2.40390495269558,-4.45760593016826,1.72547198454154,-2.58341252138769,0.00978282725969804,0.0192272548343122,"Down dans HBR"
