Geneid,UHR_Rep1,UHR_Rep2,UHR_Rep3,HBR_Rep1,HBR_Rep2,HBR_Rep3
ENSG00000040608,37,20,22,145,184,166
ENSG00000221039,0,0,0,1,5,0
ENSG00000161132,0,1,0,0,4,0
ENSG00000128185,191,91,169,90,83,74
ENSG00000273343,4,2,7,3,4,6
ENSG00000273139,4,0,4,6,6,4
ENSG00000188280,2,2,0,0,0,0
ENSG00000235578,2,0,0,0,0,0
ENSG00000161133,6,1,0,0,0,0
ENSG00000185252,220,154,180,74,80,84
ENSG00000244486,57,35,68,15,10,4
ENSG00000099910,147,96,117,116,155,149
ENSG00000242876,2,0,4,0,0,5
ENSG00000236670,8,3,17,10,6,4
ENSG00000099917,526,302,421,191,231,183
ENSG00000223553,2,5,2,4,6,3
ENSG00000276427,0,2,0,0,0,0
ENSG00000229107,0,2,6,0,2,6
ENSG00000217261,0,2,0,0,0,0
ENSG00000226287,0,0,8,8,13,8
ENSG00000241973,837,638,770,2193,2383,2145
ENSG00000099937,304,200,234,2,4,0
ENSG00000099940,261,175,183,86,117,105
ENSG00000099942,1512,961,1225,684,840,731
ENSG00000237476,2,9,0,10,0,2
ENSG00000183773,12,20,20,159,170,188
ENSG00000099949,572,347,432,238,310,225
ENSG00000272829,3,3,2,0,4,2
ENSG00000184436,190,146,174,70,111,79
ENSG00000230513,17,0,6,9,7,4
ENSG00000161149,24,18,18,12,14,24
ENSG00000099957,44,29,53,38,32,32
ENSG00000099960,2,0,2,40,54,34
ENSG00000226872,0,1,0,0,0,2
ENSG00000206145,2,2,2,9,4,2
ENSG00000187905,1,0,2,0,3,4
ENSG00000169668,0,1,0,0,2,0
ENSG00000215498,0,2,0,0,0,0
ENSG00000133475,6,2,0,0,0,2
ENSG00000206142,0,0,0,0,0,2
ENSG00000274600,0,0,4,0,2,0
ENSG00000169635,417,212,279,55,50,55
ENSG00000206140,0,4,0,3,4,14
ENSG00000183506,182,106,106,64,68,45
ENSG00000183246,0,2,0,0,0,0
ENSG00000185651,932,609,681,413,479,392
ENSG00000161179,307,164,248,33,52,48
ENSG00000161180,10,4,4,4,0,2
ENSG00000273342,2,2,2,0,0,0
ENSG00000128228,101,67,87,10,28,6
ENSG00000207751,14,6,16,2,3,0
ENSG00000272954,6,7,2,0,0,0
ENSG00000100023,475,286,431,130,132,145
ENSG00000100027,66,34,41,123,194,142
ENSG00000244671,2,1,0,1,0,1
ENSG00000100030,1671,995,1325,1476,1902,1798
ENSG00000200985,0,1,0,0,0,0
ENSG00000225544,2,0,2,0,2,2
ENSG00000100034,484,321,392,177,233,239
ENSG00000224086,14,24,12,26,52,24
ENSG00000100038,370,323,338,82,106,111
ENSG00000253239,0,1,0,0,0,0
ENSG00000253794,0,1,0,0,0,0
ENSG00000253752,0,2,0,0,0,0
ENSG00000253823,0,2,0,0,0,0
ENSG00000211640,2,0,0,0,0,0
ENSG00000253935,0,1,0,0,0,0
ENSG00000228050,2,0,4,0,1,0
ENSG00000169575,2,0,2,0,0,0
ENSG00000279278,0,4,0,0,0,0
ENSG00000274422,4,9,0,3,0,2
ENSG00000236850,10,1,3,6,2,10
ENSG00000272779,14,6,14,10,17,3
ENSG00000211643,0,0,0,1,2,4
ENSG00000211644,0,1,0,1,4,1
ENSG00000211645,0,0,0,2,6,0
ENSG00000223350,0,1,0,0,0,0
ENSG00000211653,0,1,0,0,0,0
ENSG00000211655,0,2,0,0,0,0
ENSG00000230821,0,2,0,0,0,0
ENSG00000226595,0,2,0,0,0,0
ENSG00000275004,126,106,84,55,74,76
ENSG00000169548,22,20,27,0,0,0
ENSG00000185686,1636,931,1208,0,0,0
ENSG00000220891,2,2,0,0,0,0
ENSG00000183169,0,2,0,0,0,0
ENSG00000100121,0,2,0,0,0,0
ENSG00000253338,0,2,0,0,0,0
ENSG00000211659,0,2,0,0,0,0
ENSG00000211663,0,2,0,0,0,0
ENSG00000211666,85,68,76,0,0,0
ENSG00000211670,0,2,0,0,0,0
ENSG00000237127,0,2,0,0,0,0
ENSG00000211677,1929,1192,1430,1,0,0
ENSG00000211679,1630,1005,1223,0,0,0
ENSG00000211681,0,1,0,0,0,0
ENSG00000222037,1,1,2,0,0,0
ENSG00000211685,17,7,9,0,0,0
ENSG00000223679,2,0,0,0,0,0
ENSG00000100218,2,0,0,8,14,9
ENSG00000128266,68,34,54,464,523,452
ENSG00000283438,0,0,0,2,0,0
ENSG00000100228,35,25,26,53,57,63
ENSG00000186716,650,398,525,452,708,599
ENSG00000236794,0,0,1,0,2,0
ENSG00000230701,16,10,20,4,7,8
ENSG00000236611,0,0,0,0,0,2
ENSG00000215478,0,0,0,3,4,0
ENSG00000133519,1,2,6,41,34,28
ENSG00000234928,0,2,0,0,0,0
ENSG00000227755,2,3,2,0,2,0
ENSG00000178248,0,1,0,0,0,0
ENSG00000280623,387,290,351,0,0,2
ENSG00000128322,1,0,4,0,0,0
ENSG00000272733,0,2,0,2,6,1
ENSG00000189269,0,6,4,3,3,2
ENSG00000211683,0,0,2,0,5,0
ENSG00000228315,1,0,2,1,0,0
ENSG00000234353,2,7,2,0,0,0
ENSG00000244723,7,6,6,2,1,3
ENSG00000273000,0,0,1,0,0,1
ENSG00000272578,20,13,8,7,7,12
ENSG00000159496,0,6,2,0,4,0
ENSG00000187792,159,94,81,51,96,64
ENSG00000128218,0,0,2,0,0,0
ENSG00000169314,0,2,4,0,0,0
ENSG00000250479,98,78,99,90,116,77
ENSG00000099953,74,40,54,4,2,4
ENSG00000280178,0,0,0,1,0,0
ENSG00000099956,332,259,273,138,153,120
ENSG00000099958,146,80,136,4,2,7
ENSG00000272973,4,0,4,0,12,3
ENSG00000133460,56,66,60,106,117,90
ENSG00000279467,0,4,0,0,0,0
ENSG00000240972,259,151,255,65,79,62
ENSG00000218537,11,14,14,2,0,6
ENSG00000273295,57,40,49,20,24,22
ENSG00000225282,0,2,2,0,0,0
ENSG00000133433,12,7,12,6,4,6
ENSG00000099974,10,4,8,4,2,5
ENSG00000272787,2,3,4,0,2,0
ENSG00000099977,143,105,158,45,41,35
ENSG00000099984,2,0,0,0,0,0
ENSG00000276950,0,2,2,0,0,0
ENSG00000235689,0,1,0,0,0,0
ENSG00000099991,991,564,732,552,629,604
ENSG00000232545,22,15,18,21,18,10
ENSG00000099994,22,28,20,16,16,14
ENSG00000099998,18,4,4,43,61,45
ENSG00000128262,0,3,0,2,2,4
ENSG00000100014,304,160,195,125,154,138
ENSG00000258555,0,2,2,0,2,1
ENSG00000128271,7,0,0,5,10,3
ENSG00000178803,0,6,0,0,0,0
